WKT,unnamed (1),unnamed (2),unnamed (3),unnamed (4)
,,PHT,LINTANG ,BUJUR
"POINT (102.27462131433879 -2.0437901228814543)",BNGKO - SPNUH #0001,TOWER SUTT 150kV BNGKO - SPNUH #0001,-2.0437901228814543,102.27462131433879
"POINT (102.274210875 -2.043855602500147)",BNGKO - SPNUH #0002,TOWER SUTT 150kV BNGKO - SPNUH #0002,-2.043855602500147,102.274210875
"POINT (102.27133388166655 -2.044879303333341)",BNGKO - SPNUH #0003,TOWER SUTT 150kV BNGKO - SPNUH #0003,-2.044879303333341,102.27133388166655
"POINT (102.26953029249995 -2.048751110000099)",BNGKO - SPNUH #0004,TOWER SUTT 150kV BNGKO - SPNUH #0004,-2.048751110000099,102.26953029249995
"POINT (102.26698930125012 -2.0502867462500878)",BNGKO - SPNUH #0005,TOWER SUTT 150kV BNGKO - SPNUH #0005,-2.0502867462500878,102.26698930125012
"POINT (102.26540170285716 -2.0513406942857255)",BNGKO - SPNUH #0006,TOWER SUTT 150kV BNGKO - SPNUH #0006,-2.0513406942857255,102.26540170285716
"POINT (102.26436202750017 -2.0542225112501864)",BNGKO - SPNUH #0007,TOWER SUTT 150kV BNGKO - SPNUH #0007,-2.0542225112501864,102.26436202750017
"POINT (102.26367285571428 -2.05751549142859)",BNGKO - SPNUH #0008,TOWER SUTT 150kV BNGKO - SPNUH #0008,-2.05751549142859,102.26367285571428
"POINT (102.26304889477773 -2.0596242519696677)",BNGKO - SPNUH #0009,TOWER SUTT 150kV BNGKO - SPNUH #0009,-2.0596242519696677,102.26304889477773
"POINT (102.26201628018967 -2.063298446559252)",BNGKO - SPNUH #0010,TOWER SUTT 150kV BNGKO - SPNUH #0010,-2.063298446559252,102.26201628018967
"POINT (102.26122432221673 -2.0660648351710535)",BNGKO - SPNUH #0011,TOWER SUTT 150kV BNGKO - SPNUH #0011,-2.0660648351710535,102.26122432221673
"POINT (102.25840625070943 -2.067380514730599)",BNGKO - SPNUH #0012,TOWER SUTT 150kV BNGKO - SPNUH #0012,-2.067380514730599,102.25840625070943
"POINT (102.2552678640931 -2.068787626922188)",BNGKO - SPNUH #0013,TOWER SUTT 150kV BNGKO - SPNUH #0013,-2.068787626922188,102.2552678640931
"POINT (102.25368420593448 -2.0694823842495915)",BNGKO - SPNUH #0014,TOWER SUTT 150kV BNGKO - SPNUH #0014,-2.0694823842495915,102.25368420593448
"POINT (102.25139212301164 -2.0705688221762224)",BNGKO - SPNUH #0015,TOWER SUTT 150kV BNGKO - SPNUH #0015,-2.0705688221762224,102.25139212301164
"POINT (102.24831045605256 -2.07204123958952)",BNGKO - SPNUH #0016,TOWER SUTT 150kV BNGKO - SPNUH #0016,-2.07204123958952,102.24831045605256
